transaction_id	items
1	Apple,Hard Salami,Muenster Cheese,Coffee,Rice,Toothpaste
2	Hard Salami,Provolone Cheese
3	Sprite,Hot Pocket,Hungry Man,Batteries,Yogurt
4	Hot Pocket,Popcorn,Tylenol
5	Orange Juice,Hard Salami,Batteries
6	Sliced Ham,Coffee,Tylenol
7	Apple,Bread
8	Orange Juice,Sliced Ham,Hard Salami
9	Orange Juice,Pear,Coffee
10	Apple,Banana,Hungry Man,Milk
11	Apple Juice,Orange Juice,Meatlovers Pizza,Batteries,Yogurt
12	Italian Sub,Eggs
13	Fanta,Meatlovers Pizza,Popcorn,Shampoo
14	Grape,Hard Salami,Batteries
15	Apple,Provolone Cheese,Batteries
16	Orange Juice,Milk,Toothpaste
17	Orange Juice,Rice,Italian Sub,Batteries,Toothpaste
18	Hot Pocket,Provolone Cheese
19	Fanta,Orange Juice,Sliced Ham
20	Grape,Lemon,Tylenol
