transaction_id	items
1	Fanta,Apple Juice,Meatlovers Pizza,Provolone Cheese,Muenster Cheese,Rice,Batteries,Toothpaste
2	Sprite,Apple Juice,Apple,Banana,Hot Pocket,Hard Salami,Muenster Cheese,Tylenol
3	Apple Juice,Orange Juice,Pear,Banana,Provolone Cheese,Batteries,Shampoo
4	Classic Coke,Apple,Coffee,Rice
5	Grape,Hungry Man,Milk,Tylenol
6	Fanta,Apple Juice,Milk,Tylenol
7	Fanta,Pear,Hungry Man,Provolone Cheese,Italian Sub,Butter,Tylenol
8	Sliced Ham,Bread,Toothpaste,Tylenol
9	Classic Coke,Sprite,Pear,Sliced Ham,Muenster Cheese,Batteries
10	Orange Juice,Grape,Muenster Cheese,Toothpaste,Tylenol
11	Classic Coke,Apple Juice,Pear,Hot Pocket,Bread,Butter,Shampoo
12	Hungry Man,Rice
13	Sprite,Apple,Hard Salami,Bread,Popcorn,Italian Sub,Tylenol
14	Italian Sub,Tylenol,Yogurt
15	Provolone Cheese,Butter,Toothpaste,Yogurt
16	Classic Coke,Apple Juice,Hot Pocket,Hungry Man,Sliced Ham,Muenster Cheese,Milk,Butter
17	Lemon,Sliced Ham
18	Sprite,Apple,Hot Pocket,Hard Salami,Butter,Batteries,Shampoo,Tylenol
19	Orange Juice,Lemon,Sliced Ham,Butter,Yogurt
20	Classic Coke,Provolone Cheese
